Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Refugees,Asylum-seekers,IDPs,Other people in need of international protection,Stateless persons,Host community,Others of concern
2025,Ireland, ,IRL,,STA,"Ireland does not have a Statelessness Determination Procedure. Due to the lack of reliable data on potential cases of statelessness, the extent of statelessness in Ireland cannot be identified accurately. Therefore, the only data about stateless persons included is data pertaining to stateless refugees and stateless asylum seekers at mid-year as reported by Irish authorities.",,,,,,,
2023,Italy, ,ITA,,STA,"This figure is a combination of data published by the National Institute of Statistics (675 as of 1 January 2023), as well as estimates from NGOs on the number of persons who are stateless or at risk of statelessness present in Italy.",,,,,,,
2017 - 2018,Türkiye,Syrian Arab Rep.,TUR,SYR,REF,Refugee figure for Syrians in Turkey is a Government estimate.,,,,,,,
2023,Montenegro, ,MNE,,STA,"In November 2017, jointly with the Ministry of the Interior of Montenegro (MoI) and the Ministry of Labor and Social Welfare, UNHCR carried out a field verification of all ex-Yugoslav refugees with unresolved legal status and persons at risk of statelessness, known to UNHCR at that time. The field exercise covered 2,318 individuals (including 42% children) in 20 out of 23 municipalities of Montenegro. Based on the verification results, in 2018 UNHCR reported at least 605 persons at risk of statelessness (145 at risk of statelessness and 460 in a statelessness like situation). During 2023 their number decreased for 125 persons. However, new 37 persons at risk of statelessness were identified in the field, leading to the total number of 406 persons at risk of statelessness at the end of 2023. In 2018 Montenegro introduced formal statelessness determination procedure in its legal system. By the end of 2023, 10 persons were officially recognized as stateless by the MoI through this procedure.",,,,,,,
2018 - 2023,Algeria, ,DZA,,REF,"According to the Government of Algeria, there are an estimated 165,000 Sahrawi refugees in the Tindouf camps. Statistical data relating to refugees are entirely for humanitarian purposes. The total number of persons in need of humanitarian assistance services is estimated to be far higher than this figure.",,,,,,,
2019 - 2021,Zimbabwe, ,ZWE,,STA,A study is being pursued to provide a revised estimate of the statelessness figure.,,,,,,,
2021,Philippines, ,PHL,,STA,"The updated figure is based on improved information concerning persons of Indonesian descent who have acquired nationality. The total statelessness figure reported also includes 5 stateless person of Rohingya ethnicity who is also counted as refugee or asylum-seeker from Myanmar, mainly from Rakhine State.",,,,,,,
2024,Norway, ,NOR,,STA,"With regards to stateless statistics, the figures include: (a) the number of stateless asylum seekers at end-year as reported by the Norwegian authorities; (b) the number of stateless refugees at year-end with valid residence permit as of 1 January 2024 and increases (e.g. recognitions) or decreases (e.g. refugee status cessation and naturalisations) through the year as reported by Norwegian authorities; and (c) the number of non-displaced stateless persons (those with other non-protection related types of permits) based on data from Statistics Norway corresponding to the resident population recorded as ""Stateless"" as of 1 January 2025, deducting the estimated number of stateless refugees at year-end.",,,,,,,
2015,South Africa, ,ZAF,,ASY,An adjustment to 2014 end of year figures in particular for the number of asylum applications pending on appeal and review has resulted in a substantially higher figure for numbers of asylum seekers reported in South Africa for 2015. It should be noted that the current legal framework in South Africa does not enable the withdrawal (whether explicit or implicit) of asylum applications lodged.,,,,,,,
2025,Malta, ,MLT,,REF,"The official governmental data reflects the active international protection holders residing in Malta, based on official data shared with UNHCR by the International Protection Agency under the Ministry of Home Affairs, Security and Employment.",,,,,,,
2023 - 2025,Curacao , ,CUW,,"REF,ASY,IDP,STA,OOC,HST,OIP",All data is as of end-2022.,,,,,,,
2015 - 2016,Australia, ,AUS,,ASY,Australia’s figures for asylum-seekers are based on the number of applications lodged for protection visas.,,,,,,,
2015,Thailand, ,THA,,STA,"Updated figure from the Royal Thai Government. The decrease includes the grant of Thai nationality to over 18,000 stateless people in the last three years.",,,,,,,
2020,Dominican Rep., ,DOM,,"REF,ASY,IDP,STA,OOC,HST,OIP","UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Dominican delegation during the 2019 High-Level Segment on Statelessness, approximately 48 per cent of the total Group A population of 61,049 persons had been authorized by the National Electoral Board (JCE) to request their nationality documentation. Additionally, as of December 2019, over 1,700 Group B persons (900 of which were children) had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). However, no naturalization decisions concerning this population had been issued by end 2020.",,,,,,,
2016 - 2017,Haiti, ,HTI,,STA,Figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti since June 2015.,,,,,,,
2025, ,Ukraine,,UKR,OOC,"The others of concern figure corresponds to the number of conflict-affected, non-displaced people assisted by UNHCR during the year",,,,,,,
2023,Australia, ,AUS,,STA,"Stateless figures in Australia are sourced from the Government. They consist of figures on stateless persons held in detention and those that have been issued or are in an application process for an “Onshore Humanitarian Visa” and have self-reported to be stateless. Australia does not have a separate statelessness status determination procedure and only provides statistics on humanitarian visas. Due to this, the figure reported here does not capture all stateless persons in Australia and is not an estimate of statelessness in Australia. Figures for stateless persons in detention come from the Australian Government Department of Home Affairs and Australian Border Force report on Immigration Detention and Community Statistics Summary 31 December 2023.",,,,,,,
